radius,latitude,longitude,technology
68.58,39.4252053,-0.3134174,802.11n
27.43,39.4300103,-0.3150528,802.11ac
27.43,39.4302019,-0.3156526,802.11ac
27.43,39.4303594,-0.316232,802.11ac
27.43,39.4305251,-0.3168328,802.11ac
27.43,39.4307157,-0.3174121,802.11ac
27.43,39.4308897,-0.3177984,802.11ac
27.43,39.4310555,-0.3181846,802.11ac
27.43,39.4311963,-0.318603,802.11ac
27.43,39.4312958,-0.3190966,802.11ac
27.43,39.4314367,-0.3196008,802.11ac
27.43,39.4316521,-0.3200836,802.11ac
27.43,39.4318013,-0.3206415,802.11ac
27.43,39.4319504,-0.3212745,802.11ac
27.43,39.4321245,-0.3216929,802.11ac
27.43,39.4322488,-0.3221757,802.11ac
27.43,39.4324559,-0.3226693,802.11ac
27.43,39.4326714,-0.3232486,802.11ac
27.43,39.432862,-0.323828,802.11ac
27.43,39.4330313,-0.3244442,802.11ac
27.43,39.4332799,-0.3250772,802.11ac
27.43,39.4333876,-0.325678,802.11ac
27.43,39.4336445,-0.3262037,802.11ac
27.43,39.4338268,-0.326665,802.11ac
27.43,39.4339466,-0.3272005,802.11ac
27.43,39.434104,-0.3277477,802.11ac
27.43,39.4342863,-0.3282627,802.11ac
27.43,39.4345101,-0.3288957,802.11ac
27.43,39.4347504,-0.3295072,802.11ac
27.43,39.4349161,-0.3300544,802.11ac
27.43,39.4351067,-0.3305801,802.11ac
68.58,39.4340314,-0.329789,802.11n
68.58,39.433647,-0.3288855,802.11n
68.58,39.4322963,-0.3276195,802.11n
68.58,39.4325283,-0.3258492,802.11n
68.58,39.4329366,-0.3268664,802.11n
68.58,39.4318247,-0.3262803,802.11n
68.58,39.4307971,-0.3263554,802.11n
68.58,39.4311369,-0.3274605,802.11n
68.58,39.4312612,-0.3282973,802.11n
68.58,39.4298938,-0.3269777,802.11n
68.58,39.430217,-0.3278789,802.11n
68.58,39.43228,-0.3238994,802.11n
68.58,39.4318657,-0.3226334,802.11n
68.58,39.4308795,-0.3226978,802.11n
68.58,39.4314016,-0.3239316,802.11n
68.58,39.4314596,-0.3248436,802.11n
68.58,39.4304818,-0.3239423,802.11n
68.58,39.4296702,-0.3232087,802.11n
68.58,39.4285598,-0.3238954,802.11n
68.58,39.4294465,-0.3243245,802.11n
68.58,39.4302669,-0.3250326,802.11n
68.58,39.4292227,-0.3256334,802.11n
68.58,39.4285515,-0.3249468,802.11n
68.58,39.4281951,-0.3229405,802.11n
68.58,39.4278139,-0.3218676,802.11n
68.58,39.4275321,-0.3206874,802.11n
68.58,39.4284769,-0.320269,802.11n
68.58,39.4288539,-0.3215833,802.11n
68.58,39.4293843,-0.3196736,802.11n
68.58,39.4297406,-0.3207679,802.11n
68.58,39.430387,-0.3192659,802.11n
68.58,39.4306505,-0.3204997,802.11n
68.58,39.4300273,-0.3177008,802.11n
68.58,39.4295881,-0.3162739,802.11n
68.58,39.4287824,-0.3162022,802.11n
68.58,39.4291222,-0.3174038,802.11n
68.58,39.428973,-0.3185625,802.11n
68.58,39.4277216,-0.3169639,802.11n
68.58,39.427943,-0.3181548,802.11n
68.58,39.4276032,-0.319217,802.11n
